Ticker,Weight
ANF,
ACAD,
ACIW,
GOLF,
ADMA,
ADT,
ATGE,
ALSN,
DOX,
AHR,
COLD,
ABCB,
AM,
AR,
APPF,
AIT,
ATR,
AROC,
AWI,
ABG,
ATAT,
ALV,
AVTR,
AXTA,
BMI,
BCPC,
BANF,
OZK,
BDC,
BGC,
BILL,
BIRK,
BOOT,
BOX,
BYD,
BFAM,
BCO,
EAT,
BRX,
CZR,
CALM,
CRC,
CTRE,
KMX,
CUK,
CAVA,
CVCO,
SKY,
GTLS,
CHH,
CHDN,
CRUS,
YOU,
CGNX,
COLB,
CBSH,
BVN,
ROAD,
CORT,
CRVL,
CSW,
CFR,
DSGX,
DLO,
DLB,
DORM,
DY,
EGO,
ENPH,
NPO,
ENSG,
EPAM,
ESE,
EPRT,
ECG,
EXLS,
FNB,
FRT,
FSS,
FHI,
FFIN,
AG,
FCFS,
FSV,
FND,
FLS,
FLR,
FTDR,
GAP,
GIL,
GBCI,
GMED,
GHC,
LOPE,
HALO,
THG,
HR,
HQY,
HESM,
HIMS,
HOMB,
HBM,
IESC,
INGR,
IBP,
IFS,
IDCC,
IBOC,
ITRI,
KBR,
KRC,
KEX,
KNX,
KTB,
KRYS,
LAZ,
LEVI,
LPL,
LTH,
LNW,
LAD,
LOAR,
MAIN,
MAT,
MRCY,
TIGO,
MKSI,
MOD,
MC,
MWA,
NNI,
NEU,
NWS,
NXST,
NICE,
NVMI,
ORI,
OMF,
OPCH,
PCTY,
PAY,
PECO,
PNFP,
PIPR,
PJT,
PLNT,
PHI,
BPOP,
POST,
PRIM,
PB,
QLYS,
RMBS,
RRC,
RYN,
RRR,
REXR,
R,
SBRA,
SANM,
SNDR,
ST,
SXT,
SFBS,
FOUR,
SSD,
SKX,
SKYW,
SWX,
SRAD,
SPSC,
SPXC,
STAG,
STWD,
STRL,
SNEX,
LRN,
TMHC,
TDS,
TRNO,
NYT,
TTC,
TNL,
TTMI,
UMBF,
UBSI,
UCB,
OLED,
URBN,
VLY,
VVV,
VEON,
VSAT,
VCTR,
VIRT,
VNT,
VNO,
WTS,
WEX,
WING,
WTFC,
WIX,
WK,
WH,
XP,
ZG,
ZION,
ZWS,
