Ticker,Momentum_Latest,Momentum_1M_Ago
ANF,-0.13773337009748396,-0.15188516934600743
ACAD,0.23451237682703435,0.3686154934213804
ACIW,0.045718289939173304,-0.012509317450759139
ADMA,-0.1416486451940761,-0.07104786935236104
ATGE,0.4403267757358596,0.31621324505908327
ALSN,-0.0824778782033152,-0.11894524960033441
DOX,-0.05039883735729631,-0.008612368900084322
ABCB,0.17763273000397534,0.1316470635033859
AR,-0.0016397610082220515,-0.04052008345835254
APPF,0.16388822280116547,0.18800135622073494
AIT,0.10695173258998154,0.08865186141860507
ATR,-0.12322794074614554,-0.10630309067936501
AROC,0.07590065098021008,0.05331457059591307
AWI,0.2827748595964009,0.27634716228992035
ABG,0.000602024782419952,0.03251237346321336
ALV,0.26524133551271467,0.2233277449984345
AXTA,-0.129742752078229,-0.07511364971951898
BMI,-0.16951191152286657,-0.13664669017859218
BCPC,-0.0751690515120966,-0.03924516668653173
BANF,0.10238549450085202,0.11902696261370341
OZK,0.14125472243063436,0.14401742042066834
BDC,0.14979673753312453,0.14571141011666508
BGC,0.00960947983000875,0.02506294889867682
BOOT,0.1683270024106016,0.21559461616793435
BOX,0.0006054553805213469,-0.015074240795219861
BYD,0.17493204706056972,0.18472694302754705
BFAM,-0.1117927310980433,-0.050673106435909256
BCO,0.20218673884311267,0.2049493075258626
EAT,0.09318855643354815,0.24233640699289202
BRX,0.03759129409529396,0.04741263429728067
CZR,-0.15377046019461452,-0.16151620443882891
CALM,0.06837712726210883,0.34060817557355366
CTRE,0.17554931658015502,0.2110725099458351
KMX,-0.19474743269539502,-0.15555791773624952
CUK,0.30342099479977647,0.3915985054069796
CVCO,0.21746167609641928,0.17202944575259937
SKY,-0.1062604269874654,-0.06307331149805415
GTLS,0.25165165247194465,0.19046376911729218
CHH,-0.16084781140272425,-0.1080723911986842
CHDN,-0.16286178600547935,-0.11579056797292046
CRUS,0.1615499993345169,0.04729733340101627
CGNX,0.3034942737747992,0.2176046890677638
COLB,0.059187601432959494,0.07107037635732993
CBSH,-0.04928278910124482,-0.02064184279764063
BVN,0.4904497946893532,0.41368019895179575
CORT,0.4593401868641074,0.2560780849920131
CRVL,-0.2351657015439034,-0.15924656193726286
CFR,0.01521621735517995,0.026768299831781174
DSGX,-0.04055525097812549,-0.09179678722969757
DLB,-0.04368712810002595,-0.05189156577999536
DORM,0.20437976978985023,0.2810607247606563
DY,0.4304330906554041,0.2861694269091856
EGO,0.5967196770269082,0.4435975245557735
ENPH,-0.317132791990172,-0.28691816814892634
NPO,0.21678315168286622,0.19569996399040784
ENSG,0.1309790081452467,0.19793077533293735
