Ticker,1Y Return (%),1Q Return (%),YTD Return (%)
VTI,13.594645582270125,4.2835370133476935,15.101296704303069
VEA,28.78927662846067,5.124875874892365,30.743658355049153
VWO,25.385222181081947,7.663465999437524,26.025375115432258
BND,6.37133700485506,1.832840265976654,6.469848110990739
BNDX,3.6093587581492947,0.9405574803681649,2.9228237703196935
VGLT,3.8465355605628027,3.1678033376156156,5.9588503439564455
IAU,58.85267191760883,22.384740046885,53.37717765142178
PDBC,7.845227427042167,4.996153782436474,4.036555432991018
VNQ,-0.6237493594731802,1.4419975713161337,4.510693470460181
VNQI,18.522123813917556,0.9976676175203592,21.09951825491343
