Ticker,Momentum_Latest,Momentum_1M_Ago
ATEN,-0.019465892405185748,0.039263481128864755
ABM,-0.1614933549473901,-0.12614395287854047
ACEL,-0.10565755855919416,-0.09993266104843664
ADUS,-0.0617263134160297,0.010630421904432285
ADEA,-0.0798291344224146,0.28417490065800904
AXL,0.15149938563038184,0.23982142709489698
APEI,0.3790725233508281,0.4138994692284026
AWR,-0.027027565511744032,-0.05447790782546593
ATRA,0.378769519782592,0.516569416091713
AVNT,-0.2325041481257042,-0.1352618572575997
BHC,-0.023991172594940213,0.07732078015300418
BH,0.2526396226839638,0.5010024722538053
BB,0.14704852276764963,0.36714140831604725
BFH,0.06826282916591819,0.1509208927517894
CDNA,-0.07000202101683,-0.09824970734587672
CASS,-0.0069636090491569606,-0.025605047558938797
CPF,0.04342669949150875,0.023165786270542933
CMCO,-0.1918713808463864,-0.14540464321555063
CYH,-0.043603536534129406,0.27588992761273706
CDP,0.04370834456478936,-0.004043304358019184
CXW,-0.14487889812094595,-0.024374669542998873
DLX,0.10723404835173636,0.031242370721896506
DIOD,-0.1693695104087588,0.02412793094112873
DXC,-0.20416590086773825,-0.13489212432931272
EGAN,0.9367535168187209,1.39665680798382
EFXT,0.5509692159571735,0.5926935122294085
EPAC,-0.13838025669778276,-0.024531615864103906
ENVA,0.19331528865027633,0.1817984979802536
EVTC,-0.15759904754266846,-0.14523524130383297
XPRO,0.17282510122810418,0.23090951881210703
FIVN,-0.3095683772653068,-0.11951970564975509
FSM,0.40548841829265925,0.35096061820050695
GEO,-0.3239671863099781,-0.2713988840454828
ROCK,-0.07988643978884816,-0.007968739279445924
FUL,-0.06223367504919812,-0.04718404443783184
HCSG,0.2714859880273827,0.3627242525863671
HSTM,-0.16288206639097044,-0.1677785332500057
HSII,0.232376690120169,0.3593831322646778
HNI,-0.17181413921977,-0.11891885750448725
HURN,0.201159066883622,0.27857031921780273
IMAX,0.29435239179210615,0.30003608247047914
NSP,-0.4797463152147653,-0.2710538625559712
TILE,0.06431410307609402,0.11574333903058436
KSS,0.3523291224639824,0.3689088145555924
LMAT,-0.04742226803986895,-0.0005707642391258982
LNN,-0.17535966005496412,-0.15256351288829453
LQDT,-0.12370073876741694,-0.11469139168547986
RAMP,0.02401865582840441,-0.042741356625298675
LYTS,-0.05656065845534619,0.2336536822168088
MGNI,-0.23184421103963154,0.12422860858418441
MCFT,-0.06297665466985414,0.08094384647515392
MGEE,-0.0674981325433506,-0.042788637494196105
MITK,-0.07156325479365677,0.007582195044989848
MPAA,0.2617446370460108,1.0566019545761283
MYE,0.3148689270972392,0.3296711640755003
NBR,0.2218218750274259,0.18071232201784065
NGVC,-0.21949418753793273,-0.15654978137263337
NCSM,0.2120764504534077,0.2922207906763954
NTCT,0.15800502368314828,0.22770162028494964
NMIH,0.009385003786241053,-0.04090090897645608
NOA,-0.13234586148536365,-0.01947162417622459
NUS,0.13646408903569152,0.4734350358248761
OIS,0.19696853504424205,0.2366667513144904
CNXN,-0.10190870317505148,-0.07522022927259239
MD,0.5135383285924424,0.24185698489370194
PENG,-0.08678855498155144,0.1047747234861364
PAHC,0.6236420162358115,0.7173883713460517
PBI,-0.04125329989850821,0.07573536842663191
PBYI,0.31111239570207405,0.5524465599989336
QUAD,-0.11526855812074639,-0.04676540197475698
RNG,-0.11041552921729139,0.05160746199545101
RES,0.09160722315245975,0.029242653371755356
SSTK,-0.08701298223154819,0.13791255539992336
SVM,0.578082948809759,0.5331121729387165
STRA,-0.08627417635041515,-0.09756621328191732
LRN,-0.5302938712677638,-0.4662907706458981
TCMD,0.7296928693805524,0.11498599565452679
TRS,0.08677067928967304,0.23676707625280038
TNET,-0.2514666167040023,-0.20229606030291086
UFPT,-0.051011310026501035,-0.16773483801106706
UVV,0.012159588247580833,-0.028342895878532094
UTI,0.08474020626435179,0.14559981506608938
USPH,-0.16056944914325175,0.10002564945758408
EGY,-0.013743725300850173,0.024989729459832
VC,0.07587287738166519,0.11360923471359256
WNC,-0.3226150185229965,-0.2690210160269094
WEN,-0.27312250998139287,-0.29346699421453487
WSR,0.05409430580295556,-0.005698688149724273
WLDN,0.7526272441659612,0.8224965885860428
WSC,-0.3900157961129699,-0.23291582182367748
WT,0.00044336066092092173,0.10984243573627103
WWW,-0.2785098756946128,0.1983731877415856
ZD,-0.26396914563111756,-0.11854128912340003
